RUN	simulations.CircuitBreakerSimulation	circuitbreakersimulation	1554985040255	 	3.0.3
USER	Circuit breaker scenario	259	START	1554985071442	1554985071442
REQUEST	259		circuit-breaker	1554985071443	1554985071451	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	259	END	1554985071442	1554985071452
USER	Circuit breaker scenario	260	START	1554985071504	1554985071504
USER	Circuit breaker scenario	261	START	1554985071562	1554985071562
REQUEST	208		circuit-breaker	1554985068042	1554985071580	OK	 
USER	Circuit breaker scenario	208	END	1554985068042	1554985071580
USER	Circuit breaker scenario	262	START	1554985071632	1554985071632
REQUEST	210		circuit-breaker	1554985068182	1554985071642	OK	 
USER	Circuit breaker scenario	210	END	1554985068182	1554985071642
USER	Circuit breaker scenario	263	START	1554985071692	1554985071692
REQUEST	263		circuit-breaker	1554985071692	1554985071700	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	263	END	1554985071692	1554985071702
USER	Circuit breaker scenario	264	START	1554985071753	1554985071753
USER	Circuit breaker scenario	265	START	1554985071812	1554985071812
REQUEST	213		circuit-breaker	1554985068395	1554985071847	OK	 
USER	Circuit breaker scenario	213	END	1554985068394	1554985071847
USER	Circuit breaker scenario	266	START	1554985071884	1554985071884
USER	Circuit breaker scenario	267	START	1554985071945	1554985071945
REQUEST	267		circuit-breaker	1554985071945	1554985071953	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	267	END	1554985071945	1554985071954
REQUEST	212		circuit-breaker	1554985068323	1554985071989	OK	 
USER	Circuit breaker scenario	212	END	1554985068322	1554985071990
USER	Circuit breaker scenario	268	START	1554985072004	1554985072004
REQUEST	214		circuit-breaker	1554985068476	1554985072044	OK	 
USER	Circuit breaker scenario	214	END	1554985068475	1554985072044
USER	Circuit breaker scenario	269	START	1554985072063	1554985072063
USER	Circuit breaker scenario	270	START	1554985072133	1554985072133
USER	Circuit breaker scenario	271	START	1554985072192	1554985072192
REQUEST	271		circuit-breaker	1554985072192	1554985072200	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	271	END	1554985072192	1554985072201
USER	Circuit breaker scenario	272	START	1554985072253	1554985072253
REQUEST	217		circuit-breaker	1554985068682	1554985072267	OK	 
USER	Circuit breaker scenario	217	END	1554985068681	1554985072268
USER	Circuit breaker scenario	273	START	1554985072313	1554985072313
USER	Circuit breaker scenario	274	START	1554985072382	1554985072382
REQUEST	216		circuit-breaker	1554985068615	1554985072399	OK	 
USER	Circuit breaker scenario	216	END	1554985068615	1554985072399
USER	Circuit breaker scenario	275	START	1554985072442	1554985072442
REQUEST	218		circuit-breaker	1554985068754	1554985072448	OK	 
USER	Circuit breaker scenario	218	END	1554985068753	1554985072448
REQUEST	275		circuit-breaker	1554985072442	1554985072450	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	275	END	1554985072442	1554985072450
USER	Circuit breaker scenario	276	START	1554985072502	1554985072502
USER	Circuit breaker scenario	277	START	1554985072563	1554985072563
USER	Circuit breaker scenario	278	START	1554985072633	1554985072633
REQUEST	221		circuit-breaker	1554985068954	1554985072681	OK	 
USER	Circuit breaker scenario	221	END	1554985068954	1554985072681
USER	Circuit breaker scenario	279	START	1554985072693	1554985072693
REQUEST	279		circuit-breaker	1554985072693	1554985072717	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	279	END	1554985072693	1554985072718
USER	Circuit breaker scenario	280	START	1554985072752	1554985072752
USER	Circuit breaker scenario	281	START	1554985072814	1554985072814
REQUEST	220		circuit-breaker	1554985068893	1554985072820	OK	 
USER	Circuit breaker scenario	220	END	1554985068892	1554985072820
REQUEST	222		circuit-breaker	1554985069023	1554985072848	OK	 
USER	Circuit breaker scenario	222	END	1554985069022	1554985072848
USER	Circuit breaker scenario	282	START	1554985072872	1554985072872
USER	Circuit breaker scenario	283	START	1554985072933	1554985072933
REQUEST	283		circuit-breaker	1554985072933	1554985072943	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	283	END	1554985072933	1554985072943
USER	Circuit breaker scenario	284	START	1554985072992	1554985072992
USER	Circuit breaker scenario	285	START	1554985073052	1554985073052
REQUEST	225		circuit-breaker	1554985069223	1554985073090	OK	 
USER	Circuit breaker scenario	225	END	1554985069222	1554985073090
USER	Circuit breaker scenario	286	START	1554985073103	1554985073103
USER	Circuit breaker scenario	287	START	1554985073165	1554985073165
REQUEST	287		circuit-breaker	1554985073165	1554985073181	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	287	END	1554985073165	1554985073182
USER	Circuit breaker scenario	288	START	1554985073222	1554985073222
REQUEST	224		circuit-breaker	1554985069153	1554985073245	OK	 
USER	Circuit breaker scenario	224	END	1554985069152	1554985073245
REQUEST	226		circuit-breaker	1554985069294	1554985073272	OK	 
USER	Circuit breaker scenario	226	END	1554985069294	1554985073274
USER	Circuit breaker scenario	289	START	1554985073282	1554985073282
USER	Circuit breaker scenario	290	START	1554985073343	1554985073343
USER	Circuit breaker scenario	291	START	1554985073402	1554985073402
REQUEST	291		circuit-breaker	1554985073403	1554985073417	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	291	END	1554985073402	1554985073418
USER	Circuit breaker scenario	292	START	1554985073464	1554985073464
REQUEST	229		circuit-breaker	1554985069493	1554985073503	OK	 
USER	Circuit breaker scenario	229	END	1554985069492	1554985073503
USER	Circuit breaker scenario	293	START	1554985073524	1554985073524
USER	Circuit breaker scenario	294	START	1554985073582	1554985073582
USER	Circuit breaker scenario	295	START	1554985073634	1554985073634
REQUEST	295		circuit-breaker	1554985073635	1554985073644	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	295	END	1554985073634	1554985073645
USER	Circuit breaker scenario	296	START	1554985073693	1554985073693
REQUEST	228		circuit-breaker	1554985069423	1554985073695	OK	 
USER	Circuit breaker scenario	228	END	1554985069422	1554985073696
REQUEST	230		circuit-breaker	1554985069554	1554985073707	OK	 
USER	Circuit breaker scenario	230	END	1554985069553	1554985073707
USER	Circuit breaker scenario	297	START	1554985073753	1554985073753
USER	Circuit breaker scenario	298	START	1554985073813	1554985073813
USER	Circuit breaker scenario	299	START	1554985073873	1554985073873
REQUEST	299		circuit-breaker	1554985073874	1554985073884	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	299	END	1554985073873	1554985073885
USER	Circuit breaker scenario	300	START	1554985073932	1554985073932
REQUEST	233		circuit-breaker	1554985069752	1554985073938	OK	 
USER	Circuit breaker scenario	233	END	1554985069752	1554985073938
USER	Circuit breaker scenario	301	START	1554985073995	1554985073995
USER	Circuit breaker scenario	302	START	1554985074052	1554985074052
USER	Circuit breaker scenario	303	START	1554985074104	1554985074104
REQUEST	303		circuit-breaker	1554985074104	1554985074114	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	303	END	1554985074104	1554985074115
REQUEST	232		circuit-breaker	1554985069694	1554985074121	OK	 
USER	Circuit breaker scenario	232	END	1554985069693	1554985074122
REQUEST	234		circuit-breaker	1554985069824	1554985074125	OK	 
USER	Circuit breaker scenario	234	END	1554985069823	1554985074125
USER	Circuit breaker scenario	304	START	1554985074164	1554985074164
USER	Circuit breaker scenario	305	START	1554985074222	1554985074222
USER	Circuit breaker scenario	306	START	1554985074283	1554985074283
USER	Circuit breaker scenario	307	START	1554985074344	1554985074344
REQUEST	237		circuit-breaker	1554985070024	1554985074351	OK	 
USER	Circuit breaker scenario	237	END	1554985070024	1554985074352
REQUEST	307		circuit-breaker	1554985074344	1554985074353	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	307	END	1554985074344	1554985074353
USER	Circuit breaker scenario	308	START	1554985074403	1554985074403
REQUEST	236		circuit-breaker	1554985069952	1554985074431	OK	 
USER	Circuit breaker scenario	236	END	1554985069952	1554985074432
USER	Circuit breaker scenario	309	START	1554985074463	1554985074463
REQUEST	238		circuit-breaker	1554985070094	1554985074522	OK	 
USER	Circuit breaker scenario	310	START	1554985074522	1554985074522
USER	Circuit breaker scenario	238	END	1554985070093	1554985074523
USER	Circuit breaker scenario	311	START	1554985074582	1554985074582
REQUEST	311		circuit-breaker	1554985074583	1554985074593	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	311	END	1554985074582	1554985074593
USER	Circuit breaker scenario	312	START	1554985074632	1554985074632
USER	Circuit breaker scenario	313	START	1554985074692	1554985074692
USER	Circuit breaker scenario	314	START	1554985074753	1554985074753
REQUEST	241		circuit-breaker	1554985070292	1554985074778	OK	 
USER	Circuit breaker scenario	241	END	1554985070292	1554985074778
USER	Circuit breaker scenario	315	START	1554985074813	1554985074813
REQUEST	315		circuit-breaker	1554985074813	1554985074825	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	315	END	1554985074813	1554985074825
REQUEST	240		circuit-breaker	1554985070224	1554985074861	OK	 
USER	Circuit breaker scenario	240	END	1554985070224	1554985074862
USER	Circuit breaker scenario	316	START	1554985074863	1554985074863
USER	Circuit breaker scenario	317	START	1554985074924	1554985074924
REQUEST	242		circuit-breaker	1554985070353	1554985074942	OK	 
USER	Circuit breaker scenario	242	END	1554985070353	1554985074942
USER	Circuit breaker scenario	318	START	1554985074974	1554985074974
USER	Circuit breaker scenario	319	START	1554985075032	1554985075032
REQUEST	319		circuit-breaker	1554985075033	1554985075045	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	319	END	1554985075032	1554985075046
USER	Circuit breaker scenario	320	START	1554985075092	1554985075092
USER	Circuit breaker scenario	321	START	1554985075142	1554985075142
REQUEST	245		circuit-breaker	1554985070555	1554985075193	OK	 
USER	Circuit breaker scenario	245	END	1554985070554	1554985075193
USER	Circuit breaker scenario	322	START	1554985075203	1554985075203
USER	Circuit breaker scenario	323	START	1554985075252	1554985075252
REQUEST	323		circuit-breaker	1554985075252	1554985075261	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	323	END	1554985075252	1554985075261
REQUEST	244		circuit-breaker	1554985070492	1554985075279	OK	 
USER	Circuit breaker scenario	244	END	1554985070492	1554985075280
USER	Circuit breaker scenario	324	START	1554985075313	1554985075313
REQUEST	246		circuit-breaker	1554985070623	1554985075361	OK	 
USER	Circuit breaker scenario	246	END	1554985070622	1554985075362
USER	Circuit breaker scenario	325	START	1554985075364	1554985075364
USER	Circuit breaker scenario	326	START	1554985075423	1554985075423
USER	Circuit breaker scenario	327	START	1554985075473	1554985075473
REQUEST	327		circuit-breaker	1554985075474	1554985075486	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	327	END	1554985075473	1554985075486
USER	Circuit breaker scenario	328	START	1554985075533	1554985075533
USER	Circuit breaker scenario	329	START	1554985075592	1554985075592
REQUEST	249		circuit-breaker	1554985070815	1554985075600	OK	 
USER	Circuit breaker scenario	249	END	1554985070814	1554985075600
USER	Circuit breaker scenario	330	START	1554985075644	1554985075644
REQUEST	248		circuit-breaker	1554985070755	1554985075676	OK	 
USER	Circuit breaker scenario	248	END	1554985070752	1554985075676
USER	Circuit breaker scenario	331	START	1554985075704	1554985075704
REQUEST	331		circuit-breaker	1554985075704	1554985075711	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	331	END	1554985075704	1554985075712
USER	Circuit breaker scenario	332	START	1554985075753	1554985075753
REQUEST	250		circuit-breaker	1554985070883	1554985075764	OK	 
USER	Circuit breaker scenario	250	END	1554985070883	1554985075764
USER	Circuit breaker scenario	333	START	1554985075814	1554985075814
USER	Circuit breaker scenario	334	START	1554985075864	1554985075864
USER	Circuit breaker scenario	335	START	1554985075922	1554985075922
REQUEST	335		circuit-breaker	1554985075923	1554985075934	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	335	END	1554985075922	1554985075935
USER	Circuit breaker scenario	336	START	1554985075983	1554985075983
REQUEST	253		circuit-breaker	1554985071063	1554985076015	OK	 
USER	Circuit breaker scenario	253	END	1554985071063	1554985076015
USER	Circuit breaker scenario	337	START	1554985076033	1554985076033
REQUEST	252		circuit-breaker	1554985071003	1554985076073	OK	 
USER	Circuit breaker scenario	252	END	1554985071002	1554985076074
USER	Circuit breaker scenario	338	START	1554985076093	1554985076093
USER	Circuit breaker scenario	339	START	1554985076143	1554985076143
REQUEST	339		circuit-breaker	1554985076143	1554985076171	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	339	END	1554985076143	1554985076175
REQUEST	254		circuit-breaker	1554985071132	1554985076181	OK	 
USER	Circuit breaker scenario	254	END	1554985071131	1554985076181
USER	Circuit breaker scenario	340	START	1554985076204	1554985076204
USER	Circuit breaker scenario	341	START	1554985076252	1554985076252
USER	Circuit breaker scenario	342	START	1554985076313	1554985076313
USER	Circuit breaker scenario	343	START	1554985076363	1554985076363
REQUEST	343		circuit-breaker	1554985076363	1554985076374	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	343	END	1554985076363	1554985076374
USER	Circuit breaker scenario	344	START	1554985076424	1554985076424
REQUEST	257		circuit-breaker	1554985071314	1554985076448	OK	 
USER	Circuit breaker scenario	257	END	1554985071313	1554985076449
USER	Circuit breaker scenario	345	START	1554985076484	1554985076484
REQUEST	256		circuit-breaker	1554985071256	1554985076489	OK	 
USER	Circuit breaker scenario	256	END	1554985071255	1554985076490
USER	Circuit breaker scenario	346	START	1554985076534	1554985076534
REQUEST	258		circuit-breaker	1554985071384	1554985076579	OK	 
USER	Circuit breaker scenario	258	END	1554985071383	1554985076579
USER	Circuit breaker scenario	347	START	1554985076595	1554985076595
REQUEST	347		circuit-breaker	1554985076595	1554985076603	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	347	END	1554985076595	1554985076604
USER	Circuit breaker scenario	348	START	1554985076643	1554985076643
USER	Circuit breaker scenario	349	START	1554985076703	1554985076703
USER	Circuit breaker scenario	350	START	1554985076753	1554985076753
USER	Circuit breaker scenario	351	START	1554985076814	1554985076814
REQUEST	351		circuit-breaker	1554985076815	1554985076824	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	351	END	1554985076814	1554985076825
USER	Circuit breaker scenario	352	START	1554985076863	1554985076863
REQUEST	261		circuit-breaker	1554985071562	1554985076909	OK	 
USER	Circuit breaker scenario	261	END	1554985071562	1554985076910
REQUEST	260		circuit-breaker	1554985071505	1554985076921	OK	 
USER	Circuit breaker scenario	260	END	1554985071504	1554985076922
USER	Circuit breaker scenario	353	START	1554985076922	1554985076922
USER	Circuit breaker scenario	354	START	1554985076972	1554985076972
REQUEST	262		circuit-breaker	1554985071633	1554985076985	OK	 
USER	Circuit breaker scenario	262	END	1554985071632	1554985076986
USER	Circuit breaker scenario	355	START	1554985077032	1554985077032
REQUEST	355		circuit-breaker	1554985077033	1554985077046	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	355	END	1554985077032	1554985077047
USER	Circuit breaker scenario	356	START	1554985077092	1554985077092
USER	Circuit breaker scenario	357	START	1554985077142	1554985077142
USER	Circuit breaker scenario	358	START	1554985077203	1554985077203
USER	Circuit breaker scenario	359	START	1554985077252	1554985077252
REQUEST	359		circuit-breaker	1554985077253	1554985077262	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	359	END	1554985077252	1554985077263
USER	Circuit breaker scenario	360	START	1554985077313	1554985077313
REQUEST	264		circuit-breaker	1554985071754	1554985077358	OK	 
USER	Circuit breaker scenario	264	END	1554985071753	1554985077358
USER	Circuit breaker scenario	361	START	1554985077364	1554985077364
REQUEST	265		circuit-breaker	1554985071813	1554985077387	OK	 
USER	Circuit breaker scenario	265	END	1554985071812	1554985077387
REQUEST	266		circuit-breaker	1554985071884	1554985077412	OK	 
USER	Circuit breaker scenario	266	END	1554985071884	1554985077412
USER	Circuit breaker scenario	362	START	1554985077422	1554985077422
USER	Circuit breaker scenario	363	START	1554985077472	1554985077472
REQUEST	363		circuit-breaker	1554985077472	1554985077481	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	363	END	1554985077472	1554985077482
USER	Circuit breaker scenario	364	START	1554985077534	1554985077534
USER	Circuit breaker scenario	365	START	1554985077594	1554985077594
USER	Circuit breaker scenario	366	START	1554985077642	1554985077642
USER	Circuit breaker scenario	367	START	1554985077701	1554985077701
REQUEST	367		circuit-breaker	1554985077702	1554985077712	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	367	END	1554985077701	1554985077712
USER	Circuit breaker scenario	368	START	1554985077751	1554985077751
USER	Circuit breaker scenario	369	START	1554985077812	1554985077812
REQUEST	269		circuit-breaker	1554985072063	1554985077828	OK	 
USER	Circuit breaker scenario	269	END	1554985072063	1554985077828
REQUEST	270		circuit-breaker	1554985072134	1554985077853	OK	 
USER	Circuit breaker scenario	270	END	1554985072133	1554985077853
REQUEST	268		circuit-breaker	1554985072004	1554985077854	OK	 
USER	Circuit breaker scenario	268	END	1554985072004	1554985077855
USER	Circuit breaker scenario	370	START	1554985077864	1554985077864
USER	Circuit breaker scenario	371	START	1554985077913	1554985077913
REQUEST	371		circuit-breaker	1554985077913	1554985077927	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	371	END	1554985077913	1554985077928
USER	Circuit breaker scenario	372	START	1554985077963	1554985077963
USER	Circuit breaker scenario	373	START	1554985078022	1554985078022
USER	Circuit breaker scenario	374	START	1554985078072	1554985078072
USER	Circuit breaker scenario	375	START	1554985078124	1554985078124
REQUEST	375		circuit-breaker	1554985078124	1554985078134	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	375	END	1554985078124	1554985078135
USER	Circuit breaker scenario	376	START	1554985078177	1554985078177
REQUEST	274		circuit-breaker	1554985072383	1554985078223	OK	 
USER	Circuit breaker scenario	274	END	1554985072382	1554985078223
USER	Circuit breaker scenario	377	START	1554985078234	1554985078234
REQUEST	273		circuit-breaker	1554985072313	1554985078247	OK	 
USER	Circuit breaker scenario	273	END	1554985072313	1554985078247
REQUEST	272		circuit-breaker	1554985072254	1554985078274	OK	 
USER	Circuit breaker scenario	272	END	1554985072253	1554985078275
USER	Circuit breaker scenario	378	START	1554985078282	1554985078282
USER	Circuit breaker scenario	379	START	1554985078333	1554985078333
REQUEST	379		circuit-breaker	1554985078333	1554985078343	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	379	END	1554985078333	1554985078344
USER	Circuit breaker scenario	380	START	1554985078382	1554985078382
USER	Circuit breaker scenario	381	START	1554985078442	1554985078442
USER	Circuit breaker scenario	382	START	1554985078492	1554985078492
USER	Circuit breaker scenario	383	START	1554985078544	1554985078544
REQUEST	383		circuit-breaker	1554985078545	1554985078556	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	383	END	1554985078544	1554985078556
USER	Circuit breaker scenario	384	START	1554985078604	1554985078604
USER	Circuit breaker scenario	385	START	1554985078653	1554985078653
REQUEST	278		circuit-breaker	1554985072633	1554985078662	OK	 
USER	Circuit breaker scenario	278	END	1554985072633	1554985078662
REQUEST	277		circuit-breaker	1554985072564	1554985078681	OK	 
USER	Circuit breaker scenario	277	END	1554985072563	1554985078681
USER	Circuit breaker scenario	386	START	1554985078703	1554985078703
REQUEST	276		circuit-breaker	1554985072502	1554985078706	OK	 
USER	Circuit breaker scenario	276	END	1554985072502	1554985078706
USER	Circuit breaker scenario	387	START	1554985078754	1554985078754
REQUEST	387		circuit-breaker	1554985078755	1554985078766	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	387	END	1554985078754	1554985078767
USER	Circuit breaker scenario	388	START	1554985078802	1554985078802
USER	Circuit breaker scenario	389	START	1554985078853	1554985078853
USER	Circuit breaker scenario	390	START	1554985078904	1554985078904
USER	Circuit breaker scenario	391	START	1554985078953	1554985078953
REQUEST	391		circuit-breaker	1554985078954	1554985078969	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	391	END	1554985078953	1554985078970
USER	Circuit breaker scenario	392	START	1554985079003	1554985079003
USER	Circuit breaker scenario	393	START	1554985079053	1554985079053
USER	Circuit breaker scenario	394	START	1554985079102	1554985079102
REQUEST	282		circuit-breaker	1554985072872	1554985079105	OK	 
USER	Circuit breaker scenario	282	END	1554985072872	1554985079106
REQUEST	281		circuit-breaker	1554985072814	1554985079124	OK	 
USER	Circuit breaker scenario	281	END	1554985072814	1554985079125
USER	Circuit breaker scenario	395	START	1554985079153	1554985079153
REQUEST	280		circuit-breaker	1554985072752	1554985079158	OK	 
USER	Circuit breaker scenario	280	END	1554985072752	1554985079159
REQUEST	395		circuit-breaker	1554985079153	1554985079161	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	395	END	1554985079153	1554985079161
USER	Circuit breaker scenario	396	START	1554985079202	1554985079202
USER	Circuit breaker scenario	397	START	1554985079253	1554985079253
USER	Circuit breaker scenario	398	START	1554985079304	1554985079304
USER	Circuit breaker scenario	399	START	1554985079353	1554985079353
REQUEST	399		circuit-breaker	1554985079366	1554985079376	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	399	END	1554985079353	1554985079376
USER	Circuit breaker scenario	400	START	1554985079402	1554985079402
USER	Circuit breaker scenario	401	START	1554985079453	1554985079453
USER	Circuit breaker scenario	402	START	1554985079503	1554985079503
REQUEST	286		circuit-breaker	1554985073103	1554985079508	OK	 
USER	Circuit breaker scenario	286	END	1554985073103	1554985079509
REQUEST	285		circuit-breaker	1554985073052	1554985079532	OK	 
USER	Circuit breaker scenario	285	END	1554985073052	1554985079532
USER	Circuit breaker scenario	403	START	1554985079552	1554985079552
REQUEST	403		circuit-breaker	1554985079552	1554985079559	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	403	END	1554985079552	1554985079560
REQUEST	284		circuit-breaker	1554985072993	1554985079564	OK	 
USER	Circuit breaker scenario	284	END	1554985072992	1554985079564
REQUEST	288		circuit-breaker	1554985073223	1554985079566	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	288	END	1554985073222	1554985079567
REQUEST	292		circuit-breaker	1554985073465	1554985079569	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	292	END	1554985073464	1554985079569
REQUEST	296		circuit-breaker	1554985073693	1554985079571	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	296	END	1554985073693	1554985079571
REQUEST	300		circuit-breaker	1554985073933	1554985079573	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	300	END	1554985073932	1554985079574
REQUEST	304		circuit-breaker	1554985074165	1554985079577	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	304	END	1554985074164	1554985079577
REQUEST	308		circuit-breaker	1554985074404	1554985079580	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	308	END	1554985074403	1554985079580
REQUEST	312		circuit-breaker	1554985074633	1554985079584	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	312	END	1554985074632	1554985079584
REQUEST	316		circuit-breaker	1554985074864	1554985079588	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	316	END	1554985074863	1554985079588
REQUEST	320		circuit-breaker	1554985075092	1554985079591	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	320	END	1554985075092	1554985079591
REQUEST	324		circuit-breaker	1554985075313	1554985079595	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	324	END	1554985075313	1554985079595
REQUEST	328		circuit-breaker	1554985075533	1554985079598	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	328	END	1554985075533	1554985079598
REQUEST	332		circuit-breaker	1554985075753	1554985079600	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	332	END	1554985075753	1554985079601
USER	Circuit breaker scenario	404	START	1554985079602	1554985079602
REQUEST	336		circuit-breaker	1554985075984	1554985079603	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	336	END	1554985075983	1554985079604
REQUEST	340		circuit-breaker	1554985076204	1554985079607	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	340	END	1554985076204	1554985079607
REQUEST	344		circuit-breaker	1554985076425	1554985079611	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	344	END	1554985076424	1554985079611
REQUEST	348		circuit-breaker	1554985076643	1554985079615	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	348	END	1554985076643	1554985079616
REQUEST	352		circuit-breaker	1554985076863	1554985079619	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	352	END	1554985076863	1554985079619
REQUEST	356		circuit-breaker	1554985077093	1554985079622	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	356	END	1554985077092	1554985079622
REQUEST	360		circuit-breaker	1554985077314	1554985079625	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	360	END	1554985077313	1554985079625
REQUEST	364		circuit-breaker	1554985077534	1554985079629	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	364	END	1554985077534	1554985079629
REQUEST	368		circuit-breaker	1554985077752	1554985079633	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	368	END	1554985077751	1554985079634
REQUEST	372		circuit-breaker	1554985077963	1554985079637	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	372	END	1554985077963	1554985079638
REQUEST	376		circuit-breaker	1554985078178	1554985079641	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	376	END	1554985078177	1554985079641
REQUEST	380		circuit-breaker	1554985078382	1554985079645	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	380	END	1554985078382	1554985079645
REQUEST	384		circuit-breaker	1554985078604	1554985079648	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	384	END	1554985078604	1554985079649
REQUEST	388		circuit-breaker	1554985078803	1554985079652	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
