RUN	simulations.CircuitBreakerSimulation	circuitbreakersimulation	1554985040255	 	3.0.3
USER	Circuit breaker scenario	36	START	1554985050923	1554985050923
REQUEST	34		circuit-breaker	1554985050594	1554985050926	OK	 
USER	Circuit breaker scenario	34	END	1554985050594	1554985050927
REQUEST	35		circuit-breaker	1554985050754	1554985051065	OK	 
USER	Circuit breaker scenario	35	END	1554985050753	1554985051066
USER	Circuit breaker scenario	37	START	1554985051084	1554985051084
USER	Circuit breaker scenario	38	START	1554985051254	1554985051254
REQUEST	36		circuit-breaker	1554985050924	1554985051271	OK	 
USER	Circuit breaker scenario	36	END	1554985050923	1554985051272
REQUEST	37		circuit-breaker	1554985051085	1554985051400	OK	 
USER	Circuit breaker scenario	37	END	1554985051084	1554985051400
USER	Circuit breaker scenario	39	START	1554985051422	1554985051422
USER	Circuit breaker scenario	40	START	1554985051583	1554985051583
REQUEST	38		circuit-breaker	1554985051255	1554985051668	OK	 
USER	Circuit breaker scenario	38	END	1554985051254	1554985051668
REQUEST	39		circuit-breaker	1554985051423	1554985051728	OK	 
USER	Circuit breaker scenario	39	END	1554985051422	1554985051728
USER	Circuit breaker scenario	41	START	1554985051753	1554985051753
USER	Circuit breaker scenario	42	START	1554985051924	1554985051924
REQUEST	40		circuit-breaker	1554985051584	1554985051936	OK	 
USER	Circuit breaker scenario	40	END	1554985051583	1554985051937
REQUEST	41		circuit-breaker	1554985051754	1554985052057	OK	 
USER	Circuit breaker scenario	41	END	1554985051753	1554985052057
USER	Circuit breaker scenario	43	START	1554985052092	1554985052092
USER	Circuit breaker scenario	44	START	1554985052253	1554985052253
REQUEST	42		circuit-breaker	1554985051925	1554985052336	OK	 
USER	Circuit breaker scenario	42	END	1554985051924	1554985052337
REQUEST	43		circuit-breaker	1554985052093	1554985052394	OK	 
USER	Circuit breaker scenario	43	END	1554985052092	1554985052394
USER	Circuit breaker scenario	45	START	1554985052424	1554985052424
USER	Circuit breaker scenario	46	START	1554985052594	1554985052594
REQUEST	44		circuit-breaker	1554985052254	1554985052598	OK	 
USER	Circuit breaker scenario	44	END	1554985052253	1554985052598
REQUEST	45		circuit-breaker	1554985052425	1554985052731	OK	 
USER	Circuit breaker scenario	45	END	1554985052424	1554985052732
USER	Circuit breaker scenario	47	START	1554985052753	1554985052753
USER	Circuit breaker scenario	48	START	1554985052892	1554985052892
REQUEST	46		circuit-breaker	1554985052594	1554985052905	OK	 
USER	Circuit breaker scenario	46	END	1554985052594	1554985052905
USER	Circuit breaker scenario	49	START	1554985053042	1554985053042
REQUEST	47		circuit-breaker	1554985052754	1554985053065	OK	 
USER	Circuit breaker scenario	47	END	1554985052753	1554985053065
USER	Circuit breaker scenario	50	START	1554985053183	1554985053183
USER	Circuit breaker scenario	51	START	1554985053323	1554985053323
REQUEST	49		circuit-breaker	1554985053042	1554985053375	OK	 
USER	Circuit breaker scenario	49	END	1554985053042	1554985053376
REQUEST	48		circuit-breaker	1554985052892	1554985053378	OK	 
USER	Circuit breaker scenario	48	END	1554985052892	1554985053379
USER	Circuit breaker scenario	52	START	1554985053474	1554985053474
REQUEST	50		circuit-breaker	1554985053184	1554985053591	OK	 
USER	Circuit breaker scenario	50	END	1554985053183	1554985053591
USER	Circuit breaker scenario	53	START	1554985053613	1554985053613
REQUEST	51		circuit-breaker	1554985053323	1554985053669	OK	 
USER	Circuit breaker scenario	51	END	1554985053323	1554985053669
USER	Circuit breaker scenario	54	START	1554985053754	1554985053754
REQUEST	52		circuit-breaker	1554985053476	1554985053870	OK	 
USER	Circuit breaker scenario	52	END	1554985053474	1554985053870
USER	Circuit breaker scenario	55	START	1554985053883	1554985053883
REQUEST	53		circuit-breaker	1554985053613	1554985053969	OK	 
USER	Circuit breaker scenario	53	END	1554985053613	1554985053970
USER	Circuit breaker scenario	56	START	1554985054005	1554985054005
USER	Circuit breaker scenario	57	START	1554985054133	1554985054133
REQUEST	54		circuit-breaker	1554985053755	1554985054171	OK	 
USER	Circuit breaker scenario	54	END	1554985053754	1554985054171
USER	Circuit breaker scenario	58	START	1554985054254	1554985054254
REQUEST	55		circuit-breaker	1554985053884	1554985054285	OK	 
USER	Circuit breaker scenario	55	END	1554985053883	1554985054286
USER	Circuit breaker scenario	59	START	1554985054382	1554985054382
REQUEST	59		circuit-breaker	1554985054383	1554985054395	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	59	END	1554985054382	1554985054404
USER	Circuit breaker scenario	60	START	1554985054504	1554985054504
USER	Circuit breaker scenario	61	START	1554985054637	1554985054637
REQUEST	56		circuit-breaker	1554985054006	1554985054716	OK	 
USER	Circuit breaker scenario	56	END	1554985054005	1554985054716
REQUEST	58		circuit-breaker	1554985054254	1554985054718	OK	 
USER	Circuit breaker scenario	58	END	1554985054254	1554985054718
REQUEST	57		circuit-breaker	1554985054133	1554985054719	OK	 
USER	Circuit breaker scenario	57	END	1554985054133	1554985054720
USER	Circuit breaker scenario	62	START	1554985054753	1554985054753
USER	Circuit breaker scenario	63	START	1554985054884	1554985054884
REQUEST	63		circuit-breaker	1554985054885	1554985054894	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	63	END	1554985054884	1554985054895
REQUEST	60		circuit-breaker	1554985054505	1554985054926	OK	 
USER	Circuit breaker scenario	60	END	1554985054504	1554985054926
USER	Circuit breaker scenario	64	START	1554985055004	1554985055004
REQUEST	61		circuit-breaker	1554985054637	1554985055013	OK	 
USER	Circuit breaker scenario	61	END	1554985054637	1554985055013
USER	Circuit breaker scenario	65	START	1554985055133	1554985055133
REQUEST	62		circuit-breaker	1554985054754	1554985055183	OK	 
USER	Circuit breaker scenario	62	END	1554985054753	1554985055184
USER	Circuit breaker scenario	66	START	1554985055254	1554985055254
USER	Circuit breaker scenario	67	START	1554985055383	1554985055383
REQUEST	67		circuit-breaker	1554985055384	1554985055393	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	67	END	1554985055383	1554985055394
REQUEST	64		circuit-breaker	1554985055005	1554985055423	OK	 
USER	Circuit breaker scenario	64	END	1554985055004	1554985055424
USER	Circuit breaker scenario	68	START	1554985055503	1554985055503
REQUEST	65		circuit-breaker	1554985055134	1554985055534	OK	 
USER	Circuit breaker scenario	65	END	1554985055133	1554985055534
USER	Circuit breaker scenario	69	START	1554985055634	1554985055634
REQUEST	66		circuit-breaker	1554985055255	1554985055669	OK	 
USER	Circuit breaker scenario	66	END	1554985055254	1554985055670
USER	Circuit breaker scenario	70	START	1554985055755	1554985055755
USER	Circuit breaker scenario	71	START	1554985055883	1554985055883
REQUEST	71		circuit-breaker	1554985055884	1554985055898	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
